,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.time,metrics.cost,params.file_name,params.start_node_idx,params.lab,params.greedy,params.type_of_change,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.source.type,tags.mlflow.user
728,24a438dd76274c5180a2274f5f7ce4a2,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/24a438dd76274c5180a2274f5f7ce4a2/artifacts,2022-11-13 00:26:31.389000+00:00,2022-11-13 00:26:32.856000+00:00,1.1480019092559814,69416.0,TSPD.csv,53,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
729,c26d0dc545ef4f67a099e1231c1297c6,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/c26d0dc545ef4f67a099e1231c1297c6/artifacts,2022-11-13 00:26:29.756000+00:00,2022-11-13 00:26:31.302000+00:00,1.2190001010894775,69298.0,TSPD.csv,52,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
730,60f9eec6b3274871b84e91177f451441,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/60f9eec6b3274871b84e91177f451441/artifacts,2022-11-13 00:26:28.175000+00:00,2022-11-13 00:26:29.634000+00:00,1.1720004081726074,68879.0,TSPD.csv,51,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
731,1f2d1595cde342459d8f01aa03c82064,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/1f2d1595cde342459d8f01aa03c82064/artifacts,2022-11-13 00:26:26.715000+00:00,2022-11-13 00:26:28.080000+00:00,1.1399991512298584,72205.0,TSPD.csv,50,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
732,c89975adbb254e74896692a7215dd07b,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/c89975adbb254e74896692a7215dd07b/artifacts,2022-11-13 00:26:24.808000+00:00,2022-11-13 00:26:26.571000+00:00,1.1430003643035889,71378.0,TSPD.csv,49,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
733,31cf7b38e02946bba1af11733897bd3a,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/31cf7b38e02946bba1af11733897bd3a/artifacts,2022-11-13 00:26:23.291000+00:00,2022-11-13 00:26:24.704000+00:00,1.1499991416931152,71094.0,TSPD.csv,48,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
734,fb2ac0a402664ee5a61416f9d83de51d,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/fb2ac0a402664ee5a61416f9d83de51d/artifacts,2022-11-13 00:26:22.915000+00:00,2022-11-13 00:26:59.932000+00:00,36.802000284194946,48620.0,TSPD.csv,17,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
735,1ddd38613f7c4a039e0e8aba740b398d,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/1ddd38613f7c4a039e0e8aba740b398d/artifacts,2022-11-13 00:26:21.613000+00:00,2022-11-13 00:26:23.142000+00:00,1.1399993896484375,69882.0,TSPD.csv,47,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
736,81a14dd0f0264190ba7a31a75e1c5f76,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/81a14dd0f0264190ba7a31a75e1c5f76/artifacts,2022-11-13 00:26:20.889000+00:00,2022-11-13 00:26:58.018000+00:00,36.912999868392944,47499.0,TSPD.csv,16,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
737,d99538db95d346b087866fb397fb12dc,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/d99538db95d346b087866fb397fb12dc/artifacts,2022-11-13 00:26:20.181000+00:00,2022-11-13 00:26:59.537000+00:00,38.90999913215637,46333.0,TSPD.csv,15,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
738,c9b8c986777649c7a14f22a6bd6ec0f7,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/c9b8c986777649c7a14f22a6bd6ec0f7/artifacts,2022-11-13 00:26:19.703000+00:00,2022-11-13 00:26:21.489000+00:00,1.1529998779296875,74504.0,TSPD.csv,46,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
739,ba0d50ad58ce4ae28e4ba75848dfe2e0,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/ba0d50ad58ce4ae28e4ba75848dfe2e0/artifacts,2022-11-13 00:26:17.651000+00:00,2022-11-13 00:26:19.425000+00:00,1.1649985313415527,71683.0,TSPD.csv,45,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
740,29aa5e95ff404d11a00bd1cda9cf8281,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/29aa5e95ff404d11a00bd1cda9cf8281/artifacts,2022-11-13 00:26:16.014000+00:00,2022-11-13 00:26:17.557000+00:00,1.161996841430664,69710.0,TSPD.csv,44,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
741,0ba003a4c32a44aaab99afbc98d55153,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/0ba003a4c32a44aaab99afbc98d55153/artifacts,2022-11-13 00:26:15.664000+00:00,2022-11-13 00:26:50.435000+00:00,34.61699962615967,47606.0,TSPD.csv,14,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
742,4db2af5f306e42c3afbc36b0cfb0c2b5,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/4db2af5f306e42c3afbc36b0cfb0c2b5/artifacts,2022-11-13 00:26:14.356000+00:00,2022-11-13 00:26:15.928000+00:00,1.1769990921020508,73987.0,TSPD.csv,43,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
743,9f4d7e810e7843da919a310d8ea9d8b3,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/9f4d7e810e7843da919a310d8ea9d8b3/artifacts,2022-11-13 00:26:13.479000+00:00,2022-11-13 00:26:47.985000+00:00,34.357001066207886,49046.0,TSPD.csv,13,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
744,287d553f4b174d56be65f418662d54ca,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/287d553f4b174d56be65f418662d54ca/artifacts,2022-11-13 00:26:12.890000+00:00,2022-11-13 00:26:14.257000+00:00,1.1590003967285156,71718.0,TSPD.csv,42,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
745,9350514b891341bd88fd8ead551133eb,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/9350514b891341bd88fd8ead551133eb/artifacts,2022-11-13 00:26:12.856000+00:00,2022-11-13 00:26:50.071000+00:00,37.02296566963196,47360.0,TSPD.csv,12,3,True,edge,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
746,ad0cb210f1e14078a70ffe2b6fd1ccc3,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/ad0cb210f1e14078a70ffe2b6fd1ccc3/artifacts,2022-11-13 00:26:11.241000+00:00,2022-11-13 00:26:12.803000+00:00,1.1590001583099365,72442.0,TSPD.csv,41,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
747,9b7d7910b6a04002a9a9d8decab80ae0,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/9b7d7910b6a04002a9a9d8decab80ae0/artifacts,2022-11-13 00:26:09.640000+00:00,2022-11-13 00:26:11.014000+00:00,1.1729986667633057,72170.0,TSPD.csv,40,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
748,4a3dc1981645476f9df79b3c1d181d17,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/4a3dc1981645476f9df79b3c1d181d17/artifacts,2022-11-13 00:26:07.951000+00:00,2022-11-13 00:26:09.288000+00:00,1.141998291015625,68838.0,TSPD.csv,39,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
749,fa19fe10445844508d5fb76b32b170af,16,FINISHED,hdfs://hadoop01.dev.eosc.pcss.pl:9000/mlflow-data/16/fa19fe10445844508d5fb76b32b170af/artifacts,2022-11-13 00:26:06.306000+00:00,2022-11-13 00:26:07.650000+00:00,1.1580004692077637,72458.0,TSPD.csv,38,2,,,.\file.py,2cc452be74080ea16e93f0cb221e6ae82ec28e5c,LOCAL,rajte
